[2026-04-13T12:46:28.339Z] GET http://localhost:8765/agent-ia-artisan/ → 200 (117ms, 45429B)
[2026-04-13T12:46:28.466Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/gsap.min.js → 200 (164ms, 72304B)
[2026-04-13T12:46:28.466Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/ScrollTrigger.min.js → 200 (181ms, 43974B)
[2026-04-13T12:46:28.567Z] GET http://localhost:8765/fonts/Satoshi-Black.woff2 → 200 (21ms, 23484B)
[2026-04-13T12:46:28.567Z] GET http://localhost:8765/fonts/InstrumentSans-latin.woff2 → 200 (21ms, 29904B)
[2026-04-13T12:46:28.568Z] GET http://localhost:8765/fonts/Satoshi-Bold.woff2 → 200 (17ms, 25328B)
[2026-04-13T12:46:28.568Z] GET http://localhost:8765/fonts/GeistMono-Regular.woff2 → 200 (20ms, 42420B)
[2026-04-13T12:46:55.040Z] GET http://localhost:8765/agent-ia-artisan/ → 200 (33ms, 45682B)
[2026-04-13T12:46:55.125Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/gsap.min.js → 200 (?ms, 72304B)
[2026-04-13T12:46:55.125Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/ScrollTrigger.min.js → 200 (?ms, 43974B)
[2026-04-13T12:46:55.197Z] GET http://localhost:8765/fonts/Satoshi-Bold.woff2 → 200 (?ms, ?B)
[2026-04-13T12:46:55.198Z] GET http://localhost:8765/fonts/Satoshi-Black.woff2 → 200 (?ms, ?B)
[2026-04-13T12:46:55.198Z] GET http://localhost:8765/fonts/InstrumentSans-latin.woff2 → 200 (?ms, ?B)
[2026-04-13T12:46:55.198Z] GET http://localhost:8765/fonts/GeistMono-Regular.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:19.891Z] GET http://localhost:8765/agent-ia-artisan/ → 200 (7ms, 45682B)
[2026-04-13T12:47:19.902Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/gsap.min.js → 200 (?ms, 72304B)
[2026-04-13T12:47:19.902Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/ScrollTrigger.min.js → 200 (?ms, 43974B)
[2026-04-13T12:47:19.914Z] GET http://localhost:8765/fonts/Satoshi-Bold.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:19.914Z] GET http://localhost:8765/fonts/Satoshi-Black.woff2 → 200 (1ms, ?B)
[2026-04-13T12:47:19.915Z] GET http://localhost:8765/fonts/InstrumentSans-latin.woff2 → 200 (1ms, ?B)
[2026-04-13T12:47:19.916Z] GET http://localhost:8765/fonts/GeistMono-Regular.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:24.276Z] GET http://localhost:8765/agent-ia-artisan/ → 200 (4ms, 45682B)
[2026-04-13T12:47:24.282Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/gsap.min.js → 200 (?ms, 72304B)
[2026-04-13T12:47:24.283Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/ScrollTrigger.min.js → 200 (?ms, 43974B)
[2026-04-13T12:47:24.291Z] GET http://localhost:8765/fonts/Satoshi-Bold.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:24.292Z] GET http://localhost:8765/fonts/Satoshi-Black.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:24.292Z] GET http://localhost:8765/fonts/InstrumentSans-latin.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:24.292Z] GET http://localhost:8765/fonts/GeistMono-Regular.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:28.276Z] GET http://localhost:8765/agent-ia-artisan/ → 200 (3ms, 45682B)
[2026-04-13T12:47:28.282Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/gsap.min.js → 200 (?ms, 72304B)
[2026-04-13T12:47:28.282Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/ScrollTrigger.min.js → 200 (?ms, 43974B)
[2026-04-13T12:47:28.290Z] GET http://localhost:8765/fonts/Satoshi-Bold.woff2 → 200 (2ms, ?B)
[2026-04-13T12:47:28.293Z] GET http://localhost:8765/fonts/Satoshi-Black.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:28.293Z] GET http://localhost:8765/fonts/InstrumentSans-latin.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:28.294Z] GET http://localhost:8765/fonts/GeistMono-Regular.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:33.370Z] GET http://localhost:8765/agent-ia-artisan/ → 200 (10ms, 45682B)
[2026-04-13T12:47:33.385Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/gsap.min.js → 200 (?ms, 72304B)
[2026-04-13T12:47:33.385Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.7/dist/ScrollTrigger.min.js → 200 (?ms, 43974B)
[2026-04-13T12:47:33.398Z] GET http://localhost:8765/fonts/Satoshi-Bold.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:33.399Z] GET http://localhost:8765/fonts/Satoshi-Black.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:33.399Z] GET http://localhost:8765/fonts/InstrumentSans-latin.woff2 → 200 (?ms, ?B)
[2026-04-13T12:47:33.399Z] GET http://localhost:8765/fonts/GeistMono-Regular.woff2 → 200 (?ms, ?B)
